quarter,period_end,symbol,name,sector,revenue_100m,revenue_yoy_pct,gross_profit_100m,gross_margin_pct,net_profit_100m,net_profit_yoy_pct,net_margin_pct,eps_yuan,total_assets_100m,net_assets_100m,debt_ratio_pct,current_ratio,roe_annualized_pct,op_cashflow_100m,close_price_yuan,market_cap_100m,pe_ttm,pb_ratio,nim_pct,npl_ratio_pct
2022Q1,2022-03-31,600519,贵州茅台,白酒,281.73,16.95,255.27,90.61,139.58,21.08,49.54,11.1131,2642.45,1868.4,29.29,1.55,29.88,124.81,1818,22834.08,36.42,12.22,,
2022Q2,2022-06-30,600519,贵州茅台,白酒,308.75,17.48,281.41,91.14,156.5,19.47,50.69,12.4602,2756.78,1928.1,30.06,1.61,32.47,180.51,1710,21477.6,34.25,11.14,,
2022Q3,2022-09-30,600519,贵州茅台,白酒,359.93,17.39,328.34,91.22,170.37,20.42,47.33,13.5645,2872.59,1986.85,30.83,1.44,34.3,215.01,1740,21854.4,34.86,11.0,,
2022Q4,2022-12-31,600519,贵州茅台,白酒,324.8,14.09,302.48,93.13,167.54,22.97,51.58,13.3392,2987.97,2046.27,31.52,1.51,32.75,232.59,1603,20133.68,32.11,9.84,,
2023Q1,2023-03-31,600519,贵州茅台,白酒,323.02,15.16,298.15,92.3,163.17,18.29,50.51,12.9912,3156.29,2157.66,31.64,1.59,30.25,155.03,1700,21352.0,28.58,9.9,,
2023Q2,2023-06-30,600519,贵州茅台,白酒,350.76,14.63,331.49,94.51,189.94,21.17,54.15,15.1226,3320.47,2270.25,31.63,1.4,33.47,206.13,1650,20724.0,27.74,9.13,,
2023Q3,2023-09-30,600519,贵州茅台,白酒,415.55,16.4,388.77,93.56,205.76,21.54,49.52,16.3822,3483.52,2384.75,31.54,1.44,34.51,259.02,1780,22356.8,29.93,9.37,,
2023Q4,2023-12-31,600519,贵州茅台,白酒,391.09,17.98,356.17,91.07,188.59,15.69,48.22,15.0151,3652.4,2501.85,31.5,1.4,30.15,250.4,1755,22042.8,29.51,8.81,,
2024Q1,2024-03-31,600519,贵州茅台,白酒,358.63,10.37,321.86,89.75,181.07,10.18,50.49,14.4164,3787.34,2568.28,32.19,1.58,28.2,167.63,1620,20347.2,25.28,7.92,,
2024Q2,2024-06-30,600519,贵州茅台,白酒,390.81,10.25,349.55,89.44,203.38,8.9,52.04,16.1927,3920.32,2639.55,32.67,1.45,30.82,242.36,1498,18814.88,23.37,7.13,,
2024Q3,2024-09-30,600519,贵州茅台,白酒,447.57,8.22,411.79,92.01,221.89,10.02,49.58,17.6664,4055.41,2709.16,33.2,1.43,32.76,276.62,1552,19493.12,24.22,7.2,,
2024Q4,2024-12-31,600519,贵州茅台,白酒,416.48,8.45,389.24,93.46,213.67,10.01,51.3,17.0119,4188.0,2779.32,33.64,1.42,30.75,301.25,1490,18714.4,23.25,6.73,,
