date,open,high,low,close,volume,turnover_rate_pct,change_pct,amplitude_pct,market_cap_100m,symbol,name
2022-01-04,5.13,5.15,5.08,5.1,153830872,0.0664,0.0,1.37,18177.42,601398,工商银行
2022-01-05,5.19,5.24,5.16,5.17,308125090,0.133,1.37,1.57,18426.91,601398,工商银行
2022-01-06,5.25,5.29,5.2,5.25,161012735,0.0695,1.55,1.74,18712.05,601398,工商银行
2022-01-07,5.24,5.29,5.23,5.25,278934292,0.1204,0.0,1.14,18712.05,601398,工商银行
2022-01-10,5.29,5.32,5.27,5.29,180936613,0.0781,0.76,0.95,18854.62,601398,工商银行
2022-01-11,5.38,5.42,5.33,5.36,258778741,0.1117,1.32,1.7,19104.11,601398,工商银行
2022-01-12,5.42,5.46,5.4,5.42,309978474,0.1338,1.12,1.12,19317.96,601398,工商银行
2022-01-13,5.47,5.5,5.42,5.44,179083229,0.0773,0.37,1.48,19389.25,601398,工商银行
2022-01-14,5.43,5.5,5.38,5.46,231904673,0.1001,0.37,2.21,19460.53,601398,工商银行
2022-01-17,5.54,5.58,5.48,5.53,159159351,0.0687,1.28,1.83,19710.03,601398,工商银行
2022-01-18,5.59,5.63,5.53,5.57,204567259,0.0883,0.72,1.81,19852.59,601398,工商银行
2022-01-19,5.44,5.48,5.41,5.45,245110034,0.1058,-2.15,1.26,19424.89,601398,工商银行
2022-01-20,5.48,5.51,5.41,5.45,164951176,0.0712,0.0,1.83,19424.89,601398,工商银行
2022-01-21,5.5,5.53,5.47,5.5,136223724,0.0588,0.92,1.1,19603.1,601398,工商银行
2022-01-24,5.5,5.54,5.42,5.47,227502886,0.0982,-0.55,2.18,19496.17,601398,工商银行
2022-01-25,5.41,5.45,5.35,5.38,313685242,0.1354,-1.65,1.83,19175.4,601398,工商银行
2022-01-26,5.39,5.43,5.31,5.36,151745815,0.0655,-0.37,2.23,19104.11,601398,工商银行
2022-01-27,5.36,5.41,5.28,5.33,290054596,0.1252,-0.56,2.43,18997.19,601398,工商银行
2022-01-28,5.31,5.33,5.3,5.31,210359084,0.0908,-0.38,0.56,18925.9,601398,工商银行
2022-01-31,5.38,5.4,5.34,5.35,251828551,0.1087,0.75,1.13,19068.47,601398,工商银行
2022-02-01,5.47,5.49,5.43,5.46,229819616,0.0992,2.06,1.12,19460.53,601398,工商银行
2022-02-02,5.48,5.52,5.46,5.49,139930492,0.0604,0.55,1.1,19567.46,601398,工商银行
2022-02-03,5.54,5.57,5.52,5.54,161244407,0.0696,0.91,0.91,19745.67,601398,工商银行
2022-02-04,5.52,5.57,5.46,5.5,254608627,0.1099,-0.72,1.99,19603.1,601398,工商银行
2022-02-07,5.51,5.54,5.48,5.49,164487829,0.071,-0.18,1.09,19567.46,601398,工商银行
2022-02-08,5.43,5.46,5.41,5.44,257620376,0.1112,-0.91,0.91,19389.25,601398,工商银行
2022-02-09,5.48,5.52,5.46,5.47,252060224,0.1088,0.55,1.1,19496.17,601398,工商银行
2022-02-10,5.42,5.46,5.39,5.44,176998172,0.0764,-0.55,1.28,19389.25,601398,工商银行
2022-02-11,5.44,5.52,5.39,5.48,303028284,0.1308,0.74,2.39,19531.82,601398,工商银行
2022-02-14,5.54,5.59,5.47,5.5,231904673,0.1001,0.36,2.19,19603.1,601398,工商银行
2022-02-15,5.45,5.48,5.37,5.42,297931478,0.1286,-1.45,2.0,19317.96,601398,工商银行
2022-02-16,5.4,5.44,5.36,5.41,256693684,0.1108,-0.18,1.48,19282.32,601398,工商银行
2022-02-17,5.32,5.4,5.28,5.35,214297525,0.0925,-1.11,2.22,19068.47,601398,工商银行
2022-02-18,5.37,5.41,5.36,5.38,228197905,0.0985,0.56,0.93,19175.4,601398,工商银行
2022-02-21,5.36,5.41,5.32,5.39,246036726,0.1062,0.19,1.67,19211.04,601398,工商银行
2022-02-22,5.48,5.49,5.43,5.46,254376954,0.1098,1.3,1.11,19460.53,601398,工商银行
2022-02-23,5.57,5.61,5.55,5.57,335925849,0.145,2.01,1.1,19852.59,601398,工商银行
2022-02-24,5.65,5.69,5.6,5.64,306735051,0.1324,1.26,1.62,20102.09,601398,工商银行
2022-02-25,5.61,5.65,5.57,5.61,286116155,0.1235,-0.53,1.42,19995.16,601398,工商银行
2022-02-28,5.57,5.64,5.54,5.61,168889617,0.0729,0.0,1.78,19995.16,601398,工商银行
2022-03-01,5.59,5.62,5.55,5.6,164487829,0.071,-0.18,1.25,19959.52,601398,工商银行
2022-03-02,5.66,5.68,5.59,5.64,170743001,0.0737,0.71,1.61,20102.09,601398,工商银行
2022-03-03,5.58,5.64,5.53,5.61,199470453,0.0861,-0.53,1.95,19995.16,601398,工商银行
2022-03-04,5.6,5.64,5.57,5.63,271752429,0.1173,0.36,1.25,20066.45,601398,工商银行
2022-03-07,5.64,5.72,5.61,5.67,127420150,0.055,0.71,1.95,20209.01,601398,工商银行
2022-03-08,5.59,5.62,5.53,5.57,214529198,0.0926,-1.76,1.59,19852.59,601398,工商银行
2022-03-09,5.49,5.51,5.45,5.47,300479881,0.1297,-1.8,1.08,19496.17,601398,工商银行
2022-03-10,5.45,5.49,5.43,5.47,240244901,0.1037,0.0,1.1,19496.17,601398,工商银行
2022-03-11,5.47,5.5,5.43,5.48,264802239,0.1143,0.18,1.28,19531.82,601398,工商银行
2022-03-14,5.41,5.46,5.34,5.38,347972846,0.1502,-1.82,2.19,19175.4,601398,工商银行
2022-03-15,5.37,5.38,5.34,5.37,172828058,0.0746,-0.19,0.74,19139.75,601398,工商银行
2022-03-16,5.32,5.36,5.31,5.33,169816309,0.0733,-0.74,0.93,18997.19,601398,工商银行
2022-03-17,5.34,5.38,5.26,5.31,218930985,0.0945,-0.38,2.25,18925.9,601398,工商银行
2022-03-18,5.27,5.32,5.25,5.3,153599199,0.0663,-0.19,1.32,18890.26,601398,工商银行
2022-03-21,5.24,5.28,5.19,5.21,197617069,0.0853,-1.7,1.7,18569.48,601398,工商银行
2022-03-22,5.15,5.2,5.11,5.17,247890110,0.107,-0.77,1.73,18426.91,601398,工商银行
2022-03-23,5.18,5.2,5.14,5.18,261095471,0.1127,0.19,1.16,18462.56,601398,工商银行
2022-03-24,5.2,5.23,5.16,5.18,185338400,0.08,0.0,1.35,18462.56,601398,工商银行
2022-03-25,5.18,5.19,5.12,5.15,164024484,0.0708,-0.58,1.35,18355.63,601398,工商银行
2022-03-28,5.07,5.09,5.04,5.08,263180528,0.1136,-1.36,0.97,18106.14,601398,工商银行
2022-03-29,5.08,5.11,5.06,5.08,154062545,0.0665,0.0,0.98,18106.14,601398,工商银行
2022-03-30,5.09,5.13,5.02,5.06,142478895,0.0615,-0.39,2.17,18034.85,601398,工商银行
2022-03-31,5.01,5.02,4.98,5.01,226112848,0.0976,-0.99,0.79,17856.64,601398,工商银行
2022-04-01,5.01,5.06,4.97,5.04,285652809,0.1233,0.6,1.8,17963.57,601398,工商银行
2022-04-04,4.99,5.04,4.95,5.02,122555017,0.0529,-0.4,1.79,17892.28,601398,工商银行
2022-04-05,4.96,5.02,4.93,4.98,236074787,0.1019,-0.8,1.79,17749.72,601398,工商银行
2022-04-06,5.09,5.1,5.03,5.07,288896231,0.1247,1.81,1.41,18070.49,601398,工商银行
2022-04-07,5.12,5.14,5.1,5.12,185801746,0.0802,0.99,0.79,18248.7,601398,工商银行
2022-04-08,5.15,5.2,5.12,5.18,158000986,0.0682,1.17,1.56,18462.56,601398,工商银行
2022-04-11,5.17,5.2,5.12,5.15,144332279,0.0623,-0.58,1.54,18355.63,601398,工商银行
2022-04-12,5.1,5.17,5.06,5.13,281714368,0.1216,-0.39,2.14,18284.35,601398,工商银行
